Time,Time Code,Country Name,Country Code,"Children out of school, primary, female [SE.PRM.UNER.FE]","Children out of school, primary, male [SE.PRM.UNER.MA]","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) [SE.TER.CUAT.BA.FE.ZS]","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) [SE.TER.CUAT.BA.MA.ZS]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) [SE.SEC.CUAT.LO.FE.ZS]","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative) [SE.SEC.CUAT.LO.MA.ZS]","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.LO.ZS]",Children out of school (% of primary school age) [SE.PRM.UNER.ZS],"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative) [SE.SEC.CUAT.PO.FE.ZS]","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative) [SE.SEC.CUAT.PO.MA.ZS]","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.PO.ZS]","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative) [SE.PRM.CUAT.FE.ZS]","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative) [SE.PRM.CUAT.MA.ZS]","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative) [SE.PRM.CUAT.ZS]","Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative) [SE.SEC.CUAT.UP.FE.ZS]","Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative) [SE.SEC.CUAT.UP.MA.ZS]","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.UP.ZS]","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative) [SE.TER.CUAT.MS.FE.ZS]","Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative) [SE.TER.CUAT.MS.MA.ZS]","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.MS.ZS]","Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative) [SE.TER.CUAT.DO.FE.ZS]","Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative) [SE.TER.CUAT.DO.MA.ZS]","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.DO.ZS]","Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%) [SE.TER.GRAD.FE.AG.ZS]","Female share of graduates in Arts and Humanities programmes, tertiary (%) [SE.TER.GRAD.FE.HU.ZS]","Female share of graduates in Business, Administration and Law programmes, tertiary (%) [UIS.FGP.5T8.F400]","Female share of graduates in Education programmes, tertiary (%) [SE.TER.GRAD.FE.ED.ZS]","Female share of graduates in Engineering, Manufacturing and Construction programmes, tertiary (%) [SE.TER.GRAD.FE.EN.ZS]","Female share of graduates in Health and Welfare programmes, tertiary (%) [SE.TER.GRAD.FE.HL.ZS]","Female share of graduates in Information and Communication Technologies programmes, tertiary (%) [UIS.FGP.5T8.F600]","Female share of graduates in Natural Sciences, Mathematics and Statistics programmes, tertiary (%) [SE.TER.GRAD.FE.SC.ZS]","Female share of graduates in other fields than Science, Technology, Engineering and Mathematics programmes, tertiary (%) [UIS.FGP.5T8.FNON500600700]","Female share of graduates in Services programmes, tertiary (%) [SE.TER.GRAD.FE.SV.ZS]","Female share of graduates in Social Sciences, Journalism and Information programmes, tertiary (%) [SE.TER.GRAD.FE.SS.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Gross graduation ratio, primary, female (%) [SE.PRM.CMPL.FE.ZS]","Gross graduation ratio, primary, male (%) [SE.PRM.CMPL.MA.ZS]","Gross graduation ratio, primary, total (%) [SE.PRM.CMPL.ZS]","Gross graduation ratio, tertiary, female (%) [SE.TER.CMPL.FE.ZS]","Gross graduation ratio, tertiary, male (%) [SE.TER.CMPL.MA.ZS]","Gross graduation ratio, tertiary, total (%) [SE.TER.CMPL.ZS]",Human Capital Index (HCI) (scale 0-1) [HD.HCI.OVRL],"Literacy rate, adult female (% of females ages 15 and above) [SE.ADT.LITR.FE.ZS]","Literacy rate, adult male (% of males ages 15 and above) [SE.ADT.LITR.MA.ZS]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]"
1973,YR1973,Australia,AUS,32417,41283,..,..,..,..,..,..,4.84596014022827,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Austria,AUT,..,..,..,..,..,..,..,..,11.1891899108887,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.51547002792358,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.03749990463257,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Costa Rica,CRI,19254,17670,..,..,..,16.4445209503174,17.3835601806641,16.9106006622314,10.6193199157715,..,..,..,34.161548614502,35.3532905578613,34.7528610229492,9.95403957366943,11.323390007019,10.6336297988892,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.26610994338989,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.09337997436523,..,..,..,..,..,..,..,..,..,..
1973,YR1973,France,FRA,..,..,..,..,..,..,..,..,2.68845009803772,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.23003005981445,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Greece,GRC,26621,31297,..,..,..,..,..,..,6.5463399887085,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.11261999607086,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Ireland,IRL,4053,6106,..,..,..,..,..,..,2.77516007423401,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.60856008529663,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1973,YR1973,Italy,ITA,..,..,..,..,..,..,..,..,0.50739997625351,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
