Country Name,Country Code,Series,Series Code,2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],2020 [YR2020]
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, adjusted gender parity index (GPIA)",UIS.NARA.AGM1.GPIA,..,..,..,..,..,..,..,0.95711,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, adjusted location parity index (LPIA)",UIS.NARA.AGM1.LPIA,..,..,..,..,..,..,..,0.93034,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, adjusted wealth parity index (WPIA)",UIS.NARA.AGM1.WPIA,..,..,..,..,..,..,..,0.86622,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, both sexes (%)",UIS.NARA.AGM1,..,..,..,..,..,..,..,94.04237,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, female (%)",UIS.NARA.AGM1.F,..,..,..,..,..,..,..,91.90635,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, female, adjusted location parity index (LPIA)",UIS.NARA.AGM1.F.LPIA,..,..,..,..,..,..,..,0.88186,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, female, adjusted wealth parity index (WPIA)",UIS.NARA.AGM1.F.WPIA,..,..,..,..,..,..,..,0.75989,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, adjusted gender parity index (GPIA)",UIS.NARA.AGM1.Q4.GPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q4.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, both sexes (%)",UIS.NARA.AGM1.Q4,..,..,..,..,..,..,..,99.35599,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, female (%)",UIS.NARA.AGM1.Q4.F,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, female, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q4.F.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, male (%)",UIS.NARA.AGM1.Q4.M,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, male, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q4.M.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, male (%)",UIS.NARA.AGM1.M,..,..,..,..,..,..,..,96.02489,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, male, adjusted location parity index (LPIA)",UIS.NARA.AGM1.M.LPIA,..,..,..,..,..,..,..,0.96616,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, male, adjusted wealth parity index (WPIA)",UIS.NARA.AGM1.M.WPIA,..,..,..,..,..,..,..,0.93415,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, adjusted gender parity index (GPIA)",UIS.NARA.AGM1.Q3.GPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q3.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, both sexes (%)",UIS.NARA.AGM1.Q3,..,..,..,..,..,..,..,93.28871,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, female (%)",UIS.NARA.AGM1.Q3.F,..,..,..,..,..,..,..,97.94804,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, female, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q3.F.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, male (%)",UIS.NARA.AGM1.Q3.M,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, male, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q3.M.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, adjusted gender parity index (GPIA)",UIS.NARA.AGM1.Q1.GPIA,..,..,..,..,..,..,..,0.82093,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q1.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, both sexes (%)",UIS.NARA.AGM1.Q1,..,..,..,..,..,..,..,86.24819,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, female (%)",UIS.NARA.AGM1.Q1.F,..,..,..,..,..,..,..,75.98936,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, female, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q1.F.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, male (%)",UIS.NARA.AGM1.Q1.M,..,..,..,..,..,..,..,92.56446,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, male, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q1.M.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, adjusted gender parity index (GPIA)",UIS.NARA.AGM1.Q5.GPIA,..,..,..,..,..,..,..,1.0091,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q5.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, both sexes (%)",UIS.NARA.AGM1.Q5,..,..,..,..,..,..,..,99.56799,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, female (%)",UIS.NARA.AGM1.Q5.F,..,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, female, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q5.F.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, male (%)",UIS.NARA.AGM1.Q5.M,..,..,..,..,..,..,..,99.08951,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, male, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q5.M.LPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, rural, adjusted gender parity index (GPIA)",UIS.NARA.AGM1.RUR.GPIA,..,..,..,..,..,..,..,0.89541,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Adjusted net attendance rate, one year before the official primary entry age, rural, adjusted wealth parity index (WPIA)",UIS.NARA.AGM1.RUR.WPIA,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..
