Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Belarus,BLR,Acceptability of media messages on family planning (% of women): Q1 (lowest),SH.FPL.ACPT.Q1.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Acceptability of media messages on family planning (% of women): Q2,SH.FPL.ACPT.Q2.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Acceptability of media messages on family planning (% of women): Q3,SH.FPL.ACPT.Q3.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Acceptability of media messages on family planning (% of women): Q4,SH.FPL.ACPT.Q4.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Acceptability of media messages on family planning (% of women): Q5 (highest),SH.FPL.ACPT.Q5.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Antenatal care (any skilled personnel) (% of women with a birth): Q1 (lowest),SH.STA.ANVC.Q1.ZS,..,..,..,..,..,99,..,..,..,..,..,..,97.8,..,..,..,..,..,..,..,..,..
Belarus,BLR,Antenatal care (any skilled personnel) (% of women with a birth): Q2,SH.STA.ANVC.Q2.ZS,..,..,..,..,..,99.6,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..
Belarus,BLR,Antenatal care (any skilled personnel) (% of women with a birth): Q3,SH.STA.ANVC.Q3.ZS,..,..,..,..,..,100,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..
Belarus,BLR,Antenatal care (any skilled personnel) (% of women with a birth): Q4,SH.STA.ANVC.Q4.ZS,..,..,..,..,..,100,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..
Belarus,BLR,Antenatal care (any skilled personnel) (% of women with a birth): Q5 (highest),SH.STA.ANVC.Q5.ZS,..,..,..,..,..,98.7,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..
Belarus,BLR,Antenatal care (doctor) (% of women with a birth): Q1 (lowest),SH.STA.ANVP.Q1.ZS,..,..,..,..,..,99,..,..,..,..,..,..,97.3,..,..,..,..,..,..,..,..,..
Belarus,BLR,Antenatal care (doctor) (% of women with a birth): Q2,SH.STA.ANVP.Q2.ZS,..,..,..,..,..,95.8,..,..,..,..,..,..,98.7,..,..,..,..,..,..,..,..,..
