Time,Time Code,Country Name,Country Code,Female headed households (% of households with a female head) [SP.HOU.FEMA.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at age 60, female (years) [SP.DYN.LE60.FE.IN]","Life expectancy at age 60, male (years) [SP.DYN.LE60.MA.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Population ages 0-14, female [SP.POP.0014.FE.IN]","Population ages 0-14, male [SP.POP.0014.MA.IN]","Population ages 15-19, male [SP.POP.1519.MA]","Population ages 15-19, female [SP.POP.1519.FE]","Population ages 20-24, female [SP.POP.2024.FE]","Population ages 20-24, male [SP.POP.2024.MA]","Population ages 25-29, female [SP.POP.2529.FE]","Population ages 25-29, male [SP.POP.2529.MA]","Population ages 30-34, female [SP.POP.3034.FE]","Population ages 30-34, male [SP.POP.3034.MA]","Population ages 35-39, female [SP.POP.3539.FE]","Population ages 35-39, male [SP.POP.3539.MA]","Population ages 40-44, female [SP.POP.4044.FE]","Population ages 40-44, male [SP.POP.4044.MA]","Population ages 45-49, female [SP.POP.4549.FE]","Population ages 45-49, male [SP.POP.4549.MA]","Population ages 50-54, female [SP.POP.5054.FE]","Population ages 50-54, male [SP.POP.5054.MA]","Population ages 55-59, female [SP.POP.5559.FE]","Population ages 55-59, male [SP.POP.5559.MA]","Population ages 60-64, female [SP.POP.6064.FE]","Population ages 60-64, male [SP.POP.6064.MA]",Population ages 65 and above (% of total) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, female [SP.POP.65UP.FE.IN]","Population ages 65 and above, male [SP.POP.65UP.MA.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]",Rural population (% of total population) [SP.RUR.TOTL.ZS],"Rural population, female (% of total) [SP.RUR.TOTL.FE.ZS]","Rural population, male (% of total) [SP.RUR.TOTL.MA.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Urban population, female (% of total) [SP.URB.TOTL.FE.ZS]","Urban population, male (% of total) [SP.URB.TOTL.MA.ZS]"
1973,YR1973,Australia,AUS,..,2.491,..,..,75.34,68.52,1839225,1931066,598101,576718,555096,574249,521268,551826,419247,449231,376171,397346,372496,400112,385892,407670,358234,363383,312444,304093,279883,262004,8.5519186127375,664960,479286,6661634,6718367,13380000,15.522,..,..,84.478,..,..
1973,YR1973,Austria,AUT,..,1.94,..,..,74.6,67.6,886172,927298,279508,269887,258247,266092,246241,259919,280817,294491,197635,208217,220596,229074,255061,212588,253862,180455,188020,134877,256167,184709,14.449845052543,686021,410161,3998726,3587388,7586115,34.679,..,..,65.321,..,..
1973,YR1973,Belgium,BEL,..,1.95,..,..,74.98,68.45,1093956,1145243,385647,371034,354022,369825,332048,347092,274467,281414,298990,302258,325521,324783,324521,319558,297079,286299,227878,211433,281706,246262,13.7622918632645,795664,545020,4976887,4764834,9741720,5.767,..,..,94.233,..,..
1973,YR1973,Canada,CAN,..,1.89,..,..,76.83,69.67,3045595,3191680,1154242,1114658,1011632,1027783,906168,928227,714846,746771,626107,654677,630071,661661,628015,627631,586336,567270,495387,478610,429720,410898,8.24209674603121,1031760,822034,11220294,11271483,22491777,24.149,..,..,75.851,..,..
1973,YR1973,Chile,CHL,..,3.409,..,..,67.334,60.696,1880545,1919953,559449,552278,477246,484408,386365,394307,320237,330347,289638,296062,281149,283396,253694,251262,193623,184948,158830,146014,132243,115192,4.04214577600239,235643,181015,5161493,5146349,10307842,22.841,..,..,77.159,..,..
1973,YR1973,Colombia,COL,..,4.68,..,..,65.314,60.806,4901546,5064056,1321666,1290058,1032947,1052274,802954,801536,634781,626630,521578,509595,449786,435476,378387,364556,308629,294538,258382,242279,214299,194873,3.10538551706101,398424,297068,11191768,11204549,22396318,41.11,..,..,58.89,..,..
1973,YR1973,Costa Rica,CRI,..,3.991,..,..,70.297,65.773,415317,426507,114032,111356,91021,92813,73137,74749,59725,60415,51650,51605,44700,44003,37686,37342,29753,30140,24199,24980,19974,20615,3.51571777659536,35637,34897,994152,1012096,2006247,59.345,..,..,40.655,..,..
1973,YR1973,Czechia,CZE,..,2.31,..,..,73.69,66.53,1027803,1080950,399431,381442,418126,434521,407545,418601,315034,320085,273829,272501,317361,309684,341235,315310,313699,282048,227426,200126,326139,277768,12.7148781427294,769128,492476,5118767,4803500,9922266,32.351,..,..,67.649,..,..
1973,YR1973,Denmark,DNK,..,1.92,..,..,76.53,70.97,562746,589677,190162,181209,185153,194482,207098,218764,163254,170009,143841,145853,139163,137983,147230,143917,152283,147392,142944,136031,141798,130987,12.9411004833505,368121,281763,2534840,2487020,5021861,18.789,..,..,81.211,..,..
1973,YR1973,Estonia,EST,..,2.06,..,..,74.358,65.458,150220,158229,54607,51683,52295,57535,45440,46646,53252,52972,53901,51461,56102,51344,55328,41722,42993,28227,36324,23982,44404,26560,12.1427425896445,117991,52730,759934,646016,1405951,33.455,..,..,66.545,..,..
