Time,Country Code,Value,Women's share of population ages 15+ living with HIV (%) ,"Employers, female (% of female employment) (modeled ILO estimate) ","Self-employed, male (% of male employment) (modeled ILO estimate) ","Self-employed, total (% of total employment) (modeled ILO estimate) ","Labor force with intermediate education, female (% of female working-age population with intermediate education) ",Agricultural land (% of land area),"Government expenditure on education, total (% of GDP) ","Female share of graduates in Arts and Humanities programmes, tertiary (%) ","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) ",Adjusted savings: natural resources depletion (% of GNI),Scientific and technical journal articles,Female share of employment in senior and middle management (%) 
2000,CHE,23.0,26.8,3.70000004768372,19.5900001525879,17.3700008392334,63.6399993896484,39.6214958000202,4.64836978912354,59.44852,80.56,0.0154861556784356,12621.43,22.5
2001,CHE,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2002,CHE,22.0,27.0,3.63000011444092,19.1800003051758,16.9500007629395,63.4799995422363,39.4590354739133,5.16421985626221,56.27549,81.22,3.60653545195319e-05,12478.85,24.7999992370605
2003,CHE,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2004,CHE,22.0,27.1,3.25,18.7800006866455,16.2299995422363,62.3600006103516,39.3016194331984,5.29307985305786,59.01149,80.93,0.00212647235380907,14175.81,24.7999992370605
2005,CHE,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2006,CHE,21.0,27.1,3.11999988555908,17.9300003051758,15.9200000762939,62.7000007629395,39.1426474681783,4.81757020950317,60.0225,81.29,0.00403760087326581,16469.77,26.5
2007,CHE,58.0,27.1,3.3199999332428,17.9799995422363,16.1499996185303,62.4000015258789,39.0601275432736,4.55798006057739,61.16029,81.68,0.0037998542363701,16882.92,25.7999992370605
2008,CHE,56.0,27.1,3.27999997138977,18.1399993896484,15.8800001144409,63.1599998474121,38.9867395485373,4.73192977905273,60.71047,82.35,0.00162593435976409,17350.51,25.0
2008,CHE,21.0,27.1,3.27999997138977,18.1399993896484,15.8800001144409,63.1599998474121,38.9867395485373,4.73192977905273,60.71047,82.35,0.00162593435976409,17350.51,25.0
2009,CHE,51.0,27.1,3.19000005722046,17.2199993133545,15.25,62.5800018310547,38.9082903127847,4.89041996002197,60.90367,82.49,0.000151218100117417,17905.64,27.8999996185303
2010,CHE,50.0,27.1,3.5,17.9099998474121,15.7299995422363,61.8699989318848,38.8349023180484,4.76562976837158,61.39002,81.27,0.000268823061227591,18709.05,28.1000003814697
2010,CHE,20.0,27.1,3.5,17.9099998474121,15.7299995422363,61.8699989318848,38.8349023180484,4.76562976837158,61.39002,81.27,0.000268823061227591,18709.05,28.1000003814697
2011,CHE,49.0,27.2,3.21000003814697,17.4699993133545,15.3999996185303,61.7900009155273,38.7589837028039,4.815269947052,61.21809,82.0,0.000595015970073299,19755.56,28.6000003814697
2012,CHE,50.0,27.2,3.29999995231628,17.3299999237061,15.3100004196167,61.7999992370605,38.6855957080676,4.85834980010986,55.15012,82.22,0.000722811992003585,20769.07,28.6000003814697
2012,CHE,19.0,27.2,3.29999995231628,17.3299999237061,15.3100004196167,61.7999992370605,38.6855957080676,4.85834980010986,55.15012,82.22,0.000722811992003585,20769.07,28.6000003814697
2013,CHE,44.0,27.2,3.4300000667572,17.3400001525879,15.3299999237061,61.0200004577637,38.5889133515538,4.8690299987793,61.39997,82.38,0.00143224528624296,21302.67,28.1000003814697
2014,CHE,42.0,27.2,3.35999989509583,17.2000007629395,15.2700004577637,62.5800018310547,38.5135818402672,4.87779998779297,61.17314,82.92,0.00262984910223441,21788.24,28.8999996185303
2014,CHE,16.0,27.2,3.35999989509583,17.2000007629395,15.2700004577637,62.5800018310547,38.5135818402672,4.87779998779297,61.17314,82.92,0.00262984910223441,21788.24,28.8999996185303
2015,CHE,41.0,27.3,3.32999992370605,16.4200000762939,14.8699998855591,62.310001373291,38.4384160048466,4.93844985961914,61.29948,83.38,0.00191465723362187,21848.15,31.2000007629395
2016,CHE,44.0,27.3,3.45000004768372,16.8500003814697,15.0600004196167,62.4900016784668,38.3634970415803,4.92645978927612,62.36251,83.93,0.00168847592223966,21982.57,31.2000007629395
2016,CHE,14.0,27.3,3.45000004768372,16.8500003814697,15.0600004196167,62.4900016784668,38.3634970415803,4.92645978927612,62.36251,83.93,0.00168847592223966,21982.57,31.2000007629395
2017,CHE,44.0,27.4,3.33999991416931,16.6299991607666,14.8599996566772,61.9599990844727,38.2882339141862,4.9515700340271,61.05755,83.96,0.00163533428789164,22442.37,29.1000003814697
2018,CHE,40.0,27.4,3.11999988555908,16.5900001525879,14.75,61.8300018310547,38.2142538104157,4.86325979232788,55.15012,84.17,0.00326582027141759,22189.21,31.0
2018,CHE,15.0,27.4,3.11999988555908,16.5900001525879,14.75,61.8300018310547,38.2142538104157,4.86325979232788,55.15012,84.17,0.00326582027141759,22189.21,31.0
2019,CHE,37.0,27.4,3.05999994277954,16.0300006866455,14.3699998855591,62.1599998474121,38.1403673395328,5.09326410293579,55.15012,84.21,0.00151943020124027,22336.94,32.5999984741211
2020,CHE,13.0,27.5,1.70000004768372,13.8599996566772,7.01999998092651,60.8800010681152,38.0659114794679,5.21999979019165,55.15012,71.93,0.00145849357014749,23075.04,31.7999992370605
2021,CHE,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2000,ISR,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2001,ISR,27.0,24.9,1.29999995231628,15.539999961853,11.3599996566772,58.9300003051758,25.9242144177449,6.3739800453186,55.15012,69.43,0.0003901762610749,9369.95,34.2999992370605
